3.29 -2.02 1.40 25.71
3.27 -2.08 1.41 25.71
3.25 -2.15 1.42 25.72
3.23 -2.21 1.43 25.73
3.21 -2.28 1.44 25.73
3.18 -2.34 1.45 25.74
3.16 -2.40 1.46 25.74
3.13 -2.47 1.47 25.75
3.11 -2.53 1.48 25.75
3.08 -2.59 1.49 25.76
3.06 -2.65 1.50 25.76
3.03 -2.72 1.51 25.77
3.01 -2.78 1.52 25.77
2.98 -2.84 1.53 25.78
2.95 -2.90 1.54 25.78
2.92 -2.96 1.55 25.79
2.89 -3.01 1.56 25.79
2.86 -3.07 1.57 25.80
2.83 -3.13 1.58 25.80
2.80 -3.19 1.59 25.81
2.77 -3.24 1.60 25.81
2.73 -3.30 1.61 25.82
2.70 -3.35 1.62 25.82
2.67 -3.41 1.63 25.83
2.63 -3.46 1.64 25.83
2.60 -3.51 1.65 25.84
2.56 -3.56 1.66 25.84
2.53 -3.61 1.67 25.85
2.49 -3.66 1.68 25.85
2.46 -3.71 1.69 25.86
2.42 -3.76 1.70 25.86
2.38 -3.81 1.71 25.87
2.34 -3.86 1.72 25.87
2.30 -3.91 1.73 25.88
2.27 -3.95 1.74 25.89
2.23 -4.00 1.75 25.89
2.19 -4.04 1.76 25.90
2.15 -4.09 1.77 25.90
2.10 -4.13 1.78 25.91
2.06 -4.17 1.79 25.91
2.02 -4.21 1.80 25.92
1.98 -4.25 1.81 25.92
1.94 -4.29 1.82 25.93
1.89 -4.33 1.83 25.93
1.85 -4.37 1.84 25.94
1.81 -4.41 1.85 25.94
1.76 -4.44 1.86 25.95
1.72 -4.48 1.87 25.95
1.67 -4.51 1.88 25.96
1.63 -4.55 1.89 25.96
1.58 -4.58 1.90 25.97
1.54 -4.61 1.91 25.97
1.49 -4.64 1.92 25.98
1.44 -4.67 1.93 25.98
1.40 -4.70 1.94 25.99
1.35 -4.73 1.95 25.99
1.30 -4.75 1.96 26.00
1.26 -4.78 1.97 26.00
1.21 -4.81 1.98 26.01
1.16 -4.83 1.99 26.01
1.11 -4.85 2.00 26.02
1.06 -4.87 2.01 26.03
1.01 -4.90 2.02 26.03
0.97 -4.92 2.03 26.04
0.92 -4.94 2.04 26.04
0.87 -4.95 2.05 26.05
0.82 -4.97 2.06 26.05
0.77 -4.99 2.07 26.06
0.72 -5.00 2.08 26.06
0.67 -5.02 2.09 26.07
0.62 -5.03 2.10 26.07
0.57 -5.04 2.11 26.08
0.52 -5.05 2.12 26.08
0.47 -5.06 2.13 26.09
0.42 -5.07 2.14 26.09
0.37 -5.08 2.15 26.10
0.31 -5.09 2.16 26.10
0.26 -5.10 2.17 26.11
0.21 -5.10 2.18 26.11
0.16 -5.11 2.19 26.12
0.11 -5.11 2.20 26.12
0.06 -5.11 2.21 26.13
0.01 -5.11 2.22 26.13
-0.04 -5.11 2.23 26.14
-0.09 -5.11 2.24 26.15
-0.15 -5.11 2.25 26.15
-0.20 -5.11 2.26 26.16
-0.25 -5.10 2.27 26.16
-0.30 -5.10 2.28 26.17
-0.35 -5.09 2.29 26.17
-0.40 -5.08 2.30 26.18
-0.45 -5.08 2.31 26.18
-0.50 -5.07 2.32 26.19
